occupation,rating
Hearing Aid Manufacturer,8
Horse Drawn Carriage Man'r,7
Ice Cream Manufacturer,3
Ink Cartridge Refiller/Recycle,10
Jam/Pickle/Sauce Manufacturer,3
Jewellery Manufacturer,4
Jointing Compound Manufacturer,8
Kitchen Manufacturer - Fitted,5
Knitwear Manufacturer,3
Leather Goods Manufacturer,5
Lens / Optical Manufacturer,4
Lighting Manufacturer,5
Liquid Milk & Cream M'fer,3
Lithographer,4
Lock Manufacturer,3
Machinery Manufacturer,3
Machinery Mechanic,8
Machinery Repairer,8
Margarine & Edible Fats M'fer,3
Meal and Tallow Manufacturer,8
Meat Packer/ Cutter,6
Meat Process' ex Abattoir/cook,6
Meat Products M'fer (inc cook),6
Medical Equipment Manufacturer,10
Metal Fabricator,1
Metallurgist,7
Metalworking Machinery Man'r,3
Miller,6
Milliner,3
Millwright,8
Mineral Water Producer,3
Mining,10
Model Maker,3
Mould Maker,3
Music Instrument Maker/Repair,3
Nail/ Screw/ Tack Manufacturer,3
Nut/Dried Fruit M'fer ex cook,3
Nut/Dried Fruit M'fer in cook,4
Oil Filter Manufacturer,10
Organ Manufacturer,3
Organic Waste Recycling,10
Other Confectionery M'fer,3
Paint Manufacturer,8
Pallet Manufacturer,9
Paper Recycling,10
Paper/Cardboard Product Man'r,8
Pasta & Assoc' Products M'fer,4
Paste Man'r (adhesives),8
Pattern Maker - Metal,3
Pattern Maker - Plastic,3
Pattern Maker - Wood / Paper,5
Paving Slab Manufacturer,7
Peat / Compost Producer,9
Peat Extractor,9
Pesticide Manufacturer,10
Pet Food Manufacturer,7
Photo Processors and Printers,4
Photocopier Manufacturer,6
Picture Framer - Metal,3
Picture Framer - Plastic,3
Picture Framer - Wood,3
Pipe Manufacturer (plastic),4
Plastic Goods Assembler,3
Plastic Man' Press Lam' T'plas,4
Plastic Man'r - Slush Moulding,4
Plastic Man'r Blown Film Ext'n,7
Plastic Man'r Coating Metal,4
Plastic Man'r Ext'n Coating,4
Plastic Man'r Hot Press Mould',7
Plastic Man'r Injection Mould',4
Plastic Man'r Lam' Mat' Fab',4
Plastic Man'r Press Lam' T'set,4
Plastic Man'r Rotation Mould',9
Plastic Man'r Transfer Mould',7
Plastic Man'r Vacuum Metal'n,9
Plastics Man'r - Blow Moulding,7
Plastics Man'r - Calandering,4
Plastics Man'r - Compounding,9
Plastics Man'r - Extrusion,4
Plastics Man'r - Spreading,4
Plastics Man'r - Thermoforming,7
Plastics Man'r-Film Conversion,7
Plater,8
Playground Man'r & Installer,10
Polystyrene Manufacturer,10
Polythene Manufacturer,10
Pond Lining Fab' & Installer,9
Potato/Crisp Snack M'fer,4
Potteries/Ceramics Man'r,3
Poultry Equipment Manufacturer,3
Poultry Processor / Packer,6
Poultry/Game Meat Packer,6
Poultry/Game Processor ex cook,6
Poultry/Game Prod'Mfer in cook,7
Powdered Milk Production,6
Pre-Prepared Meals M'fer,3
Print Finisher,4
Printers - cardboard box,8
Printers - newspaper,8
Printers - paper / cardboard,8
Printers - silk,4
Printers - textiles,4
Printing Equipment Man'r,3
Quarry,10
Reclamation / Recycling Centre,10
Refuse Treatment,10
Rendering of Meat By-products,9
Renewables-AD over 1000kW,6
Renewables-AD upto 1000kW,6
Renewables-AD upto 250kW,5
Renewables-AD upto 500kW,5
Renewables-Biomass over 1000kW,10
Renewables-Biomass upto 1000kW,7
Renewables-Biomass upto 250kW,5
Renewables-Biomass upto 500kW,7
Renewables-Hydro,6
Renewables-Solar Ground,5
Renewables-Solar Roof,5
Renewables-Wind,7
Rope Manufacturer,8
Rubber Manufacturer,10
Saddle Manufacturer,5
Safe Manufacturer,10
Salad Product Manufacturer,3
Sandwich Manufacturer,3
Saw Doctor,7
Sawmill / Woodworker for trade,9
Scientific Instrument Man'r,6
Scrap Metal Dealer,10
Sculptor,6
Seamstress,3
Seating Manufacturer,3
Shed Manufacturer,7
Sheet Metal Worker,7
Shell Crusher,7
Shellfish Product Manufacturer,7
Shipwright,10
Shoe Repairer,3
